problem_id,family,strategy,problem_idx,result,file,notes
HumanEval_7,GPT5,SelfDebug,7,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SelfDebug/sample_7.py,OK
HumanEval_8,GPT5,SelfDebug,8,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SelfDebug/sample_8.py,OK
HumanEval_9,GPT5,SelfDebug,9,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SelfDebug/sample_9.py,OK
HumanEval_0,CLAUDE,SelfDebug,0,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SelfDebug/sample_0.py,OK
HumanEval_1,CLAUDE,SelfDebug,1,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SelfDebug/sample_1.py,OK
HumanEval_2,CLAUDE,SelfDebug,2,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SelfDebug/sample_2.py,OK
HumanEval_3,CLAUDE,SelfDebug,3,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SelfDebug/sample_3.py,OK
HumanEval_4,CLAUDE,SelfDebug,4,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SelfDebug/sample_4.py,OK
HumanEval_5,CLAUDE,SelfDebug,5,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SelfDebug/sample_5.py,OK
HumanEval_6,CLAUDE,SelfDebug,6,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SelfDebug/sample_6.py,OK
HumanEval_7,CLAUDE,SelfDebug,7,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SelfDebug/sample_7.py,OK
HumanEval_8,CLAUDE,SelfDebug,8,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SelfDebug/sample_8.py,OK
HumanEval_9,CLAUDE,SelfDebug,9,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SelfDebug/sample_9.py,OK
HumanEval_0,GPT5,ReflectiveRefine,0,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/ReflectiveRefine/sample_0.py,OK
HumanEval_1,GPT5,ReflectiveRefine,1,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/ReflectiveRefine/sample_1.py,OK
HumanEval_2,GPT5,ReflectiveRefine,2,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/ReflectiveRefine/sample_2.py,OK
HumanEval_3,GPT5,ReflectiveRefine,3,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/ReflectiveRefine/sample_3.py,OK
HumanEval_4,GPT5,ReflectiveRefine,4,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/ReflectiveRefine/sample_4.py,OK
HumanEval_5,GPT5,ReflectiveRefine,5,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/ReflectiveRefine/sample_5.py,OK
HumanEval_6,GPT5,ReflectiveRefine,6,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/ReflectiveRefine/sample_6.py,OK
HumanEval_7,GPT5,ReflectiveRefine,7,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/ReflectiveRefine/sample_7.py,OK
HumanEval_8,GPT5,ReflectiveRefine,8,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/ReflectiveRefine/sample_8.py,OK
HumanEval_9,GPT5,ReflectiveRefine,9,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/ReflectiveRefine/sample_9.py,OK
HumanEval_0,CLAUDE,ReflectiveRefine,0,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/ReflectiveRefine/sample_0.py,OK
HumanEval_1,CLAUDE,ReflectiveRefine,1,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/ReflectiveRefine/sample_1.py,OK
HumanEval_2,CLAUDE,ReflectiveRefine,2,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/ReflectiveRefine/sample_2.py,OK
HumanEval_3,CLAUDE,ReflectiveRefine,3,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/ReflectiveRefine/sample_3.py,OK
HumanEval_4,CLAUDE,ReflectiveRefine,4,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/ReflectiveRefine/sample_4.py,OK
HumanEval_5,CLAUDE,ReflectiveRefine,5,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/ReflectiveRefine/sample_5.py,OK
HumanEval_6,CLAUDE,ReflectiveRefine,6,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/ReflectiveRefine/sample_6.py,OK
HumanEval_7,CLAUDE,ReflectiveRefine,7,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/ReflectiveRefine/sample_7.py,OK
HumanEval_8,CLAUDE,ReflectiveRefine,8,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/ReflectiveRefine/sample_8.py,OK
HumanEval_9,CLAUDE,ReflectiveRefine,9,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/ReflectiveRefine/sample_9.py,OK
